Assignee Id,L1 Centrality,L2-A Centrality,L2-B Centrality,L3 Centrality,L4 Centrality,Global Centrality A,Global Centrality B,Avg Fixed Time,Reopened Percent,Assignee Component,Total Bugs,First Closed Avg Time,Priority/Bug,Severity/Bug
,,,,,,,,,,,,,,
296,0.03630,0.02209,0.01854,0.03376,0.04548,0.000153935421638556,0.00334697392365325,1176.67444444444,1.61290322580645,5,26,1176.67444444444,2.53846153846154,3.11538461538461
329,0.03008,0.08919,0.02163,0.09943,0.04634,0.0000541513489223839,0.045078701708655,1652.21944444444,1.83891136447223,23,183,1581.10777777778,1.67213114754098,3.6120218579235
628,0.03048,0.04239,0.10049,0.09167,0.04636,0.0205539620743917,0.00508289838526205,1484.05444444444,0.806451612903226,2,23,1484.05444444444,2.60869565217391,3.56521739130435
1564,0.02639,0.04658,0.10252,0.02047,0.04471,0.0256181097411624,0.000913323119399892,431.345555555556,0,1,15,431.345555555556,3,3.2
1629,0.01056,0.01179,0.01855,0.00966,0.04474,0.00799538486411236,0.00012902801500282,957.875555555556,2.08333333333333,3,21,957.875555555556,3,3.33333333333333
2253,0.10399,0.08363,0.04751,0.12388,0.04659,0.00885681918765282,0.0180094248886358,514.827777777778,8.33333333333333,4,11,514.827777777778,3,3.27272727272727
2478,0.16418,0.04174,0.09864,0.05453,0.04662,0.019641770250545,0.000200189979073933,1544.77805555556,0,4,54,1544.77805555556,3.01851851851852,2.98148148148148
2642,0.01267,0.00636,0.00772,0.09560,0.04632,0.0429247568486077,0.0000991839656579035,1889.70083333333,1.99600798403194,13,39,1889.70083333333,2.2051282051282,3.30769230769231
9957,0.06214,0.08252,0.04841,0.06012,0.04648,0.000465860414341635,0.00107471702449431,93.6361111111111,3.2258064516129,13,43,93.6361111111111,3,3.25581395348837
10003,0.02335,0.03261,0.01229,0.07937,0.04660,0.000309366733491447,0.0000909104119200046,1907.7775,2.78330019880716,2,35,1907.7775,2.94285714285714,1.54285714285714
10176,0.01281,0.01179,0.01899,0.00713,0.04535,0.0294303553383778,0.0000718309428989522,1238.45694444444,0,2,11,1238.45694444444,3,2.90909090909091
