Assignee,L1,L2 - D1,L2 - D2,L3,L4,Avg Fixed,Avg Closed,Avg Reopened,Total Components,Priority Points,Severity Points
48,0.14606,0.08655,0.09306,0.09878,0.08035,1175.19202573311,12889.1664444914,3.40425531914894,16,350,768
2971,0.09078,0.08629,0.08975,0.08979,0.08035,488.298612264286,18478.5802397023,0,3,17,42
3,0.15509,0.08665,0.09322,0.09901,0.08035,555.093676055086,16105.8825554191,2.61780104712042,24,835,1659
153,0.10554,0.08464,0.08947,0.09628,0.08035,1118.93114817825,15787.2240634793,0,2,24,47
88455,0.05416,0.08583,0.08849,0.02521,0.08035,423.425853858143,14318.5916865241,2.5,13,79,166
184,0.13067,0.08663,0.09288,0.09575,0.08035,682.315318529962,13961.0855025709,2.60756192959583,12,456,922
462,0.13790,0.08619,0.09251,0.09698,0.08035,508.881049008262,11705.5519104811,3.27868852459016,11,684,1422
6,0.14331,0.08665,0.09261,0.09781,0.08035,538.710925961333,15847.8159105243,4.8,13,260,616
503,0.13506,0.08610,0.09228,0.09689,0.08035,0.826667328,15099.043335768,0,1,2,6
45,0.04787,0.08129,0.08449,0.09117,0.08008,2352.73246090343,8513.96666732571,0,1,14,42
886,0.10104,0.08305,0.08798,0.09633,0.08035,812.766446582805,15096.2299153785,2.53431890179514,11,441,944
40,0.06132,0.08563,0.08779,0.08762,0.08035,0,9844.023892108,0,1,1,6
501,0.13637,0.08592,0.09101,0.09637,0.08035,551.151995110297,14451.8325388977,2.88461538461538,7,634,1315
1893,0.13696,0.08601,0.09182,0.09814,0.08035,732.366596683453,12619.5736521436,2.34445446348061,8,256,567
88,0.13287,0.08612,0.09142,0.09796,0.08035,762.260093035697,15270.4524590896,2.46445497630332,17,681,1442
180,0.10271,0.08592,0.09086,0.09555,0.08035,1784.41576285984,12668.5166995715,4.04411764705882,3,123,300
46,0.11739,0.08636,0.09120,0.09656,0.08035,1772.48425701185,20191.2403495693,1.52413209144793,3,328,717
690,0.09175,0.08307,0.08816,0.09412,0.08035,462.940785756445,11701.7708531303,2.73348519362187,10,288,594
722,0.07618,0.08435,0.08959,0.09433,0.08035,684.713931825846,17012.0886807496,3.95738203957382,4,140,296
73,0.07597,0.08563,0.08838,0.09271,0.08035,903.86263239381,13605.2158400055,2.65957446808511,3,262,481
35,0.11475,0.08636,0.09105,0.09619,0.08035,164.872073162695,15394.3192632186,1.73978819969743,6,797,1538
47,0.10446,0.08592,0.09072,0.09364,0.08035,1435.6702503762,12775.8630972727,3.65448504983389,10,90,234
1311,0.07480,0.08371,0.08716,0.09142,0.08008,787.368703732,13401.1468445199,0.842105263157895,5,98,216
123,0.12921,0.08627,0.09191,0.09656,0.08035,1941.85820305032,13330.3477841955,4.18187852638566,7,751,1556
1901,0.13092,0.08537,0.09095,0.09855,0.08035,313.649042624951,14153.5896808992,2.09747069710055,9,942,1814
217,0.07475,0.08334,0.08446,0.09143,0.08035,886.451996789375,17471.4660244784,2.43161094224924,9,196,345
258,0.10082,0.08655,0.09082,0.09491,0.08035,556.424189201,16360.6859050505,5.4519368723099,7,177,363
375,0.11535,0.08612,0.09251,0.09355,0.08035,1253.47826669372,13447.3797707222,1.8140589569161,7,70,174
60,0.09426,0.08548,0.09069,0.09179,0.08035,6445.4993761995,15669.333195511,0.840336134453782,4,35,72
1226,0.05524,0.08288,0.07984,0.08866,0.07999,185.350416874273,16872.0164520334,2.56045519203414,5,225,396
285,0.10624,0.08359,0.08808,0.09238,0.08035,1090.65264451856,8152.51526682288,0,9,67,150
82,0.11874,0.08607,0.09226,0.09559,0.08035,767.27410210666,14334.0113351003,2.78884462151394,16,290,615
