Assignee,L1,L2 - D1,L2 - D2,L3,L4,Avg Fixed,Avg Closed,Avg Reopened,Total Components,Priority Points,Severity Points
48,0.13242,0.07811,0.08488,0.08675,0.07066,1167.48151926368,12785.1122171383,3.26173428798727,25,425,960
2971,0.07007,0.07726,0.08095,0.07702,0.06998,488.298612264286,18478.5802397023,0,3,17,42
3,0.13861,0.07819,0.08540,0.08713,0.07066,618.233530972805,14998.8220612753,2.57602862254025,40,1251,2595
153,0.10928,0.07674,0.08284,0.08581,0.07066,945.36508,12837.2396433917,3.31491712707182,10,62,167
88455,0.04151,0.07551,0.07819,0.01763,0.06998,409.482625045103,14405.6644641607,2.34375,13,81,172
184,0.12619,0.07804,0.08519,0.08572,0.07066,677.638176352087,13632.1512062364,2.30515916575192,21,527,1084
462,0.11169,0.07673,0.08307,0.08513,0.07066,508.881049008262,11705.5519104811,3.27868852459016,11,684,1422
6,0.13271,0.07812,0.08485,0.08639,0.07066,671.38540636752,14109.6703469836,4.99537465309898,24,546,1342
503,0.12539,0.07790,0.08475,0.08593,0.07066,13.514726634,13141.743893484,0,2,6,18
45,0.07722,0.07733,0.08096,0.08254,0.07049,2352.73246090343,8513.96666732571,0,1,14,42
1888,0.09454,0.07752,0.08350,0.08465,0.07066,1016.95284078036,14727.6875630322,1.50618612157074,2,487,1032
886,0.09756,0.07588,0.07980,0.08546,0.07066,697.057967471712,14216.5172171095,2.84057971014493,15,689,1586
40,0.06257,0.07497,0.07644,0.07804,0.07066,866.904583737,11597.3633893396,0,3,25,60
501,0.11963,0.07719,0.08261,0.08541,0.07066,581.523911573047,13592.7449817485,2.45606605970781,8,1025,2179
1893,0.10771,0.07705,0.08264,0.08581,0.07066,732.366596683453,12619.5736521436,2.34445446348061,8,256,567
88,0.10786,0.07675,0.08227,0.08598,0.07066,813.042945153866,15246.9419882245,2.42914979757085,17,691,1460
180,0.11157,0.07785,0.08259,0.08536,0.07066,1601.29763504446,12471.8896429517,3.05343511450382,9,167,414
46,0.11050,0.07731,0.08319,0.08482,0.07066,1493.39633810414,19675.6704085468,2.03303684879288,8,393,915
690,0.06864,0.07366,0.07729,0.08199,0.07066,462.940785756445,11701.7708531303,2.73348519362187,10,288,594
722,0.06206,0.07397,0.07813,0.07966,0.07066,684.713931825846,17012.0886807496,3.95738203957382,4,140,296
73,0.08851,0.07581,0.07896,0.08419,0.07066,1043.16178626865,13760.046802876,2.55720053835801,8,431,883
35,0.10140,0.07601,0.08166,0.08490,0.07066,161.410511378615,15413.8040061938,1.73850054328142,6,822,1604
47,0.11433,0.07756,0.08340,0.08531,0.07066,653.72497330598,14258.2392357957,2.34578627280625,16,536,1176
1311,0.05657,0.07445,0.07745,0.07786,0.06982,787.368703732,13401.1468445199,0.842105263157895,5,98,216
123,0.12647,0.07796,0.08395,0.08712,0.07066,2506.66937522621,18257.60194024,3.68862884762147,12,1768,3944
707,0.09478,0.07791,0.08277,0.07904,0.07049,0,13505.37640279,0,1,3,6
1901,0.09968,0.07616,0.08064,0.08616,0.07066,313.649042624951,14153.5896808992,2.09747069710055,9,942,1814
217,0.05703,0.07220,0.07186,0.08116,0.06998,886.451996789375,17471.4660244784,2.43161094224924,9,196,345
258,0.10837,0.07743,0.08277,0.08547,0.07066,639.498806119558,14614.609457979,3.77049180327869,13,285,615
375,0.11681,0.07719,0.08413,0.08488,0.07066,952.176456079862,12814.3650989945,3.78732702112163,13,222,522
60,0.10637,0.07751,0.08348,0.08450,0.07066,745.74633923295,14232.8648324505,3.09493935591803,10,484,1074
1226,0.04060,0.07156,0.07122,0.07697,0.06979,185.350416874273,16872.0164520334,2.56045519203414,5,225,396
285,0.11449,0.07776,0.08240,0.08543,0.07066,798.766238467488,10881.8121528561,1.24740124740125,25,398,1008
82,0.11194,0.07769,0.08416,0.08463,0.07066,855.952086044796,14277.7519754658,3.02743614001892,18,302,645
145,0.08109,0.07448,0.07759,0.08431,0.07066,788.267339816802,11714.8263446733,1.85471406491499,12,499,1092
183,0.13839,0.07792,0.08522,0.08703,0.07066,122.3200713005,2846.1357655975,0,3,13,24
155,0.10414,0.07743,0.08251,0.08616,0.07066,895.824514469187,11371.7411269467,1.15919629057187,13,572,1476
77,0.07594,0.07693,0.08115,0.07382,0.07049,847.041173139111,13010.9352779927,1.12359550561798,8,42,108
1310,0.10281,0.07720,0.08251,0.08597,0.07066,726.69037319112,12925.7204710971,2.95165394402036,12,834,1956
220,0.05618,0.07470,0.07558,0.07549,0.07066,212.3232092319,11943.6491944838,2.66666666666667,9,61,120
310,0.07990,0.07679,0.08227,0.08235,0.07066,678.254697215486,9511.24422074106,2.79255319148936,13,390,864
664,0.11108,0.07804,0.08478,0.08462,0.07066,695.76718811375,13834.2751043868,3.6036036036036,11,71,144
276,0.01771,0.07037,0.07154,0.05172,0.06871,971.372315379333,19543.5938598331,12.3711340206186,2,24,50
416,0.09422,0.07473,0.08073,0.08265,0.07066,1637.81247590654,20891.7293945956,0,2,29,66
944,0.11135,0.07698,0.08383,0.08549,0.07066,1504.58927476278,15868.0460995739,2.95384615384615,16,438,852
380,0.10240,0.07754,0.08439,0.08321,0.07049,1107.56839881369,10539.7354487525,2.98507462686567,6,29,78
1344,0.08327,0.07711,0.08067,0.08071,0.07066,97.95694601,10607.015851746,0,1,3,6
733,0.03376,0.07217,0.07120,0.07385,0.07066,7.7359041665,11445.1120163785,0,2,11,24
136,0.11877,0.07759,0.08339,0.08645,0.07066,756.254850647651,13070.7881481969,2.83018867924528,19,728,1584
504,0.11346,0.07740,0.08420,0.08556,0.07066,440.178369098886,14529.5663148793,2.60756192959583,20,577,1260
320,0.06853,0.07464,0.07807,0.07885,0.07066,1005.40280015616,14617.9572149623,1.06571936056838,2,104,228
42,0.12746,0.07783,0.08393,0.08660,0.07066,424.985845103,12982.1738688513,3.42741935483871,13,405,996
166,0.11206,0.07777,0.08334,0.08552,0.07066,432.09204093681,13335.1865611549,2.23243598161523,13,301,726
173,0.10086,0.07731,0.08155,0.08348,0.07066,390.598455157416,13296.0756554912,1.03950103950104,6,253,534
